area,iptu,taxa_condominial,num_quartos,num_banheiros,num_suites,num_vagas_garagem,num_andares,tipo_imovel,estado_construcao,fonte,imovel_lancamento,bl_temporada,vista_mar_bin,mobiliado_bin,preco_m2
259.0,4765.0,1700.0,4,5,4,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6563.706563706563
130.0,4600.0,1100.0,3,3,1,2,13,Apartamento,desconhecido,Viva Real,0,0,0,0,9230.76923076923
154.0,,1200.0,3,4,3,3,0,Apartamento,desconhecido,Viva Real,0,0,0,0,16363.636363636364
93.0,936.0,605.0,3,2,1,0,0,Apartamento,desconhecido,Viva Real,0,0,0,1,4623.655913978495
76.0,1.0,250.0,3,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,4210.526315789473
167.0,5500.0,950.0,3,5,3,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,17065.868263473054
130.0,4600.0,1100.0,3,3,1,2,13,Apartamento,desconhecido,Viva Real,0,0,0,0,9230.76923076923
143.0,3914.0,1351.0,4,4,1,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10489.510489510489
143.0,3914.0,1351.0,4,4,1,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10489.510489510489
67.0,1079.0,410.0,2,2,1,2,10,Apartamento,desconhecido,Viva Real,0,0,0,1,11574.044776119403
109.0,1781.0,1041.0,3,2,1,1,9,Apartamento,desconhecido,Viva Real,0,0,0,1,7339.4495412844035
67.0,1079.0,410.0,2,2,1,2,10,Apartamento,desconhecido,Viva Real,0,0,0,1,11574.044776119403
278.0,9934.0,1548.0,4,3,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7913.669064748202
278.0,9934.0,1548.0,4,3,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7913.669064748202
138.0,4800.0,1300.0,3,4,3,2,15,Apartamento,desconhecido,Viva Real,0,0,1,0,21806.9153612532
257.0,1.0,1.0,4,5,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7392.992217898833
95.0,1200.0,680.0,3,2,1,2,7,Apartamento,desconhecido,Viva Real,0,0,0,1,11578.947368421053
343.0,1086.0,,3,5,3,4,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11486.880466472303
107.0,1364.0,1249.0,3,2,1,1,10,Apartamento,desconhecido,Viva Real,0,0,0,1,12616.822429906542
130.0,4600.0,1100.0,3,3,1,2,13,Apartamento,desconhecido,Viva Real,0,0,0,0,9230.76923076923
190.0,,,2,3,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11163.157894736842
68.0,1361.0,650.0,2,2,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,11323.529411764706
331.0,4950.0,2353.0,4,5,2,2,0,Cobertura,desconhecido,Viva Real,0,0,0,1,5981.873111782477
331.0,4950.0,2353.0,4,5,2,2,0,Cobertura,desconhecido,Viva Real,0,0,0,1,5981.873111782477
167.0,5500.0,950.0,3,5,3,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,17065.868263473054
52.0,4800.0,846.0,0,1,0,2,0,Imóvel Comercial,desconhecido,Viva Real,0,0,0,0,7115.384615384615
130.0,4800.0,1967.0,4,3,2,4,11,Apartamento,desconhecido,Viva Real,0,0,0,1,12230.76923076923
110.0,,,3,2,0,0,12,Apartamento,desconhecido,Viva Real,0,0,0,0,5909.090909090909
52.0,4800.0,846.0,0,1,0,2,0,Imóvel Comercial,desconhecido,Viva Real,0,0,0,0,7115.384615384615
331.0,4950.0,2353.0,4,5,2,2,0,Cobertura,desconhecido,Viva Real,0,0,0,1,5981.873111782477
109.0,1781.0,1041.0,3,2,1,1,9,Apartamento,desconhecido,Viva Real,0,0,0,1,7339.4495412844035
67.0,1079.0,410.0,2,2,1,2,10,Apartamento,desconhecido,Viva Real,0,0,0,1,11574.044776119403
52.0,4800.0,846.0,0,1,0,2,0,Imóvel Comercial,desconhecido,Viva Real,0,0,0,0,7115.384615384615
278.0,9934.0,1548.0,4,3,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7913.669064748202
130.0,4600.0,1100.0,3,3,1,2,13,Apartamento,desconhecido,Viva Real,0,0,0,0,9230.76923076923
343.0,1086.0,,3,5,3,4,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11486.880466472303
76.0,1.0,250.0,3,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,4210.526315789473
167.0,5500.0,950.0,3,5,3,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,17065.868263473054
130.0,4800.0,1967.0,4,3,2,4,11,Apartamento,desconhecido,Viva Real,0,0,0,1,12230.76923076923
109.0,1781.0,1041.0,3,2,1,1,9,Apartamento,desconhecido,Viva Real,0,0,0,1,7339.4495412844035
165.0,3600.0,1830.0,2,4,2,1,0,Cobertura,desconhecido,Viva Real,0,0,0,0,7090.909090909091
78.0,189.0,818.0,2,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5512.820512820513
83.0,1325.0,420.0,1,1,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10000.0
90.0,750.0,730.0,3,2,1,1,12,Apartamento,desconhecido,Viva Real,0,0,0,0,7222.222222222223
51.0,114.0,547.0,1,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,16418.07843137255
